date,demand,quarter,season_sin,season_cos,possible_working_days,avg_weight,ap_price_weight,crude_price_weight,demand_lag1,demand_lag3,ap_price_weight_lag1,ap_price_weight_lag3,ap_price_weight_lag6,crude_price_weight_lag1,crude_price_weight_lag3,crude_price_weight_lag6,demand_rollmean_3,crude_price_weight_rollmean_3,crude_price_weight_rollmean_6
200209,151560.0,3,-1.0,-1.8369701987210297e-16,21.0,0.0937,141579.9,144764.16666666666,107844.0,156575.0,141579.9,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,125363.0,144764.16666666666,144764.16666666666
200210,171889.0,4,-0.8660254037844386,0.5000000000000001,23.0,0.0981,146683.83333333334,144764.16666666666,151560.0,116685.0,141579.9,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,143764.33333333334,144764.16666666666,144764.16666666666
200211,211490.0,4,-0.5000000000000004,0.8660254037844384,21.0,0.112,146683.83333333334,144764.16666666666,171889.0,107844.0,146683.83333333334,141579.9,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,178313.0,144764.16666666666,144764.16666666666
200212,177511.0,4,-2.4492935982947064e-16,1.0,21.0,0.1085,141579.9,144764.16666666666,211490.0,151560.0,146683.83333333334,141579.9,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,186963.33333333334,144764.16666666666,144764.16666666666
200301,49218.0,1,0.49999999999999994,0.8660254037844387,16.0,0.034,141579.9,142557.76666666666,177511.0,171889.0,141579.9,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,146073.0,144028.69999999998,144396.43333333332
200302,86550.0,1,0.8660254037844386,0.5000000000000001,20.0,0.0359,141579.9,142557.76666666666,49218.0,211490.0,141579.9,146683.83333333334,141579.9,142557.76666666666,144764.16666666666,144764.16666666666,104426.33333333333,143293.23333333334,144028.69999999998
200303,70575.0,1,1.0,6.123233995736766e-17,21.0,0.0679,141579.9,142557.76666666666,86550.0,177511.0,141579.9,141579.9,141579.9,142557.76666666666,144764.16666666666,144764.16666666666,68781.0,142557.76666666666,143660.96666666667
200304,104384.0,2,0.8660254037844387,-0.49999999999999983,20.0,0.0913,146683.83333333334,144764.16666666666,70575.0,49218.0,141579.9,141579.9,146683.83333333334,142557.76666666666,142557.76666666666,144764.16666666666,87169.66666666667,143293.2333333333,143660.96666666665
200305,156171.0,2,0.49999999999999994,-0.8660254037844387,19.0,0.1065,146683.83333333334,144764.16666666666,104384.0,86550.0,146683.83333333334,141579.9,146683.83333333334,144764.16666666666,142557.76666666666,144764.16666666666,110376.66666666667,144028.69999999998,143660.96666666665
200306,170798.0,2,1.2246467991473532e-16,-1.0,19.0,0.1117,141579.9,144764.16666666666,156171.0,70575.0,146683.83333333334,141579.9,141579.9,144764.16666666666,142557.76666666666,144764.16666666666,143784.33333333334,144764.16666666666,143660.96666666665
