date,demand,season,platt_apag_mom_pct,platt_crude_mom_pct,temp_avg,precip_avg,threshold_temp_days,threshold_rainy_days,possible_working_days,avg_weight
201312,182314.0,0,-0.43751282770377875,-3.563371638713897,0.8715806451612903,1.40596,0.0,0.0,22.0,0.1085
201401,55139.0,0,0.2829067098679916,0.9764856952547918,-0.05309677419354847,0.9760000000000001,0.0,0.0,23.0,0.034
201402,66464.0,0,-1.7947273088756543,-0.6845984724892284,2.0703214285714284,2.273909090909091,1.0,0.0,19.0,0.0359
201403,85748.0,1,-1.4733116556280845,0.35103816455883674,7.367999999999999,4.191571428571429,0.0,0.0,21.0,0.0679
201404,143005.0,1,1.2015448874458823,0.9379598650796961,13.091533333333333,5.016444444444445,0.0,0.0,22.0,0.0913
201405,163365.0,1,2.443754513051921,2.2402667562584133,18.18683870967742,3.2485999999999997,0.0,0.0,22.0,0.1065
201406,188051.0,2,-1.8700610622606417,-1.7426147496034328,21.5629,4.137964285714285,0.0,0.0,21.0,0.1117
201407,121127.0,2,-1.5953952034129637,-4.159957977915574,24.881677419354837,6.5609,0.0,0.0,23.0,0.0767
201408,116820.0,2,-2.9638232448408797,-5.171199213630406,23.51267741935484,13.800896551724138,0.0,4.0,17.0,0.0765
201409,112830.0,3,-13.159962828309869,-10.205844498000294,20.437566666666665,5.182730769230769,0.0,2.0,20.0,0.0937
201410,139489.0,3,-9.075418505759503,-11.885966599969212,14.328129032258065,7.698666666666666,0.0,1.0,22.0,0.0981
201411,163112.0,3,-22.425201536761584,-21.073231123964618,8.279166666666667,4.231285714285714,0.0,1.0,19.0,0.112
201412,146122.0,0,-21.994251988569392,-24.351754146757877,-1.2838387096774193,1.5235769230769232,2.0,0.0,21.0,0.1085
201501,57119.0,0,22.64714257513265,21.650593135923213,-0.04167741935483875,1.7127272727272727,1.0,0.0,21.0,0.034
201502,67480.0,0,-5.400803456021119,-1.413495642636542,1.5735714285714284,1.53915,1.0,0.0,19.0,0.0359
201503,94809.0,1,6.135859521116371,7.12030435765747,6.357225806451614,2.7676,0.0,0.0,22.0,0.0679
201504,131813.0,1,11.011240019747714,8.552548107422297,12.377466666666667,6.491,0.0,0.0,22.0,0.0913
201505,177035.0,1,-4.280888145298222,-2.7831785041848467,18.323225806451614,3.2768333333333337,0.0,0.0,21.0,0.1065
201506,167016.0,2,-14.791055987647217,-9.09583095414085,21.545433333333335,5.3762083333333335,0.0,1.0,21.0,0.1117
201507,125437.0,2,-21.31716859901648,-15.092529433148737,24.181870967741936,7.622466666666667,0.0,1.0,22.0,0.0767
201508,135935.0,2,-2.091749257725928,-4.855842185128989,24.894290322580645,5.909857142857143,0.0,1.0,20.0,0.0765
201509,152550.0,3,1.1173763535719416,1.021788129226131,20.018633333333334,4.061190476190476,0.0,0.0,22.0,0.0937
201510,166176.0,3,-5.440300900281669,-9.047796122762641,14.533225806451613,3.864,0.0,1.0,21.0,0.0981
201511,155197.0,3,-22.37390353214881,-17.029679761667893,9.615933333333334,5.32,0.0,0.0,21.0,0.112
201512,216398.0,0,-15.474274803170196,-22.49655063665391,2.8670645161290325,1.94192,0.0,0.0,23.0,0.1085
201601,45965.0,0,2.1615866314252274,9.299433331271988,-1.5160967741935485,1.6034347826086957,6.0,0.0,15.0,0.034
201602,60022.0,0,16.415238783950592,19.92717475609258,1.2621724137931034,2.0462307692307693,0.0,0.0,21.0,0.0359
201603,127859.0,1,7.7652421889635725,11.058838891516887,6.811451612903226,3.255727272727273,0.0,0.0,23.0,0.0679
201604,155100.0,1,16.566248298958385,13.42744543003207,13.526733333333334,7.954476190476191,0.0,0.0,21.0,0.0913
201605,185446.0,1,7.795448627407642,4.489274440545898,18.35622580645161,5.7426111111111116,0.0,0.0,22.0,0.1065
201606,207443.0,2,-0.572403059067661,-8.196594046952232,22.13113333333333,3.0201481481481482,0.0,0.0,22.0,0.1117
201607,130442.0,2,0.41471386791656073,2.914841166792792,25.154709677419355,12.460933333333333,0.0,5.0,16.0,0.0767
201608,155746.0,2,5.764789195667963,-0.8529279931849043,26.344516129032257,5.188296296296296,0.0,0.0,23.0,0.0765
201609,158986.0,3,11.151610584850946,13.051147353613501,21.163666666666664,9.186576923076924,0.0,3.0,19.0,0.0937
201610,184584.0,3,-3.1345704263321283,-10.452236659250524,15.380999999999998,5.69637037037037,0.0,1.0,20.0,0.0981
201611,220309.0,3,18.64620888072914,18.76931245441742,7.263133333333333,1.58964,0.0,0.0,22.0,0.112
201612,219572.0,0,2.0121416163750627,3.1073991133860446,2.3296129032258066,3.003375,0.0,0.0,22.0,0.1085
201701,54598.0,0,-2.774244881909116,1.345955153444467,-0.5669032258064516,0.932875,4.0,0.0,18.0,0.034
201702,56496.0,0,-7.011392725819743,-5.948246497807485,1.0550357142857143,1.5279545454545456,1.0,0.0,19.0,0.0359
201703,132205.0,1,3.747748249316585,2.131444198584398,5.873064516129032,1.5049090909090908,0.0,0.0,23.0,0.0679
201704,187239.0,1,-2.747180132503624,-3.357503273462037,13.568999999999999,3.62,0.0,0.0,20.0,0.0913
201705,209999.0,1,-3.1113285008660063,-8.04268450684319,18.478677419354838,2.6115625000000002,0.0,0.0,23.0,0.1065
201706,221887.0,2,2.1861794660015033,2.359312238708089,21.6061,3.27044,0.0,0.0,22.0,0.1117
201707,133520.0,2,3.3077790623140535,5.579591013974272,26.00474193548387,12.847000000000001,0.0,2.0,19.0,0.0767
201708,150796.0,2,7.360957496643783,6.860499318945967,24.84793548387097,9.80706896551724,0.0,1.0,22.0,0.0765
201709,193464.0,3,2.313674573150837,3.5022317338760045,20.094800000000003,6.594235294117647,0.0,1.0,20.0,0.0937
201710,138475.0,3,9.58664910194933,9.486611578749681,14.912806451612903,3.7315199999999997,0.0,0.0,22.0,0.0981
201711,221593.0,3,-0.8404088529265885,1.2825581656066065,6.3045,1.4410909090909092,0.0,0.0,22.0,0.112
201712,179677.0,0,4.706148760512963,7.454116719877235,-1.0334516129032258,1.012,5.0,0.0,16.0,0.1085
201801,42606.0,0,-3.9178358626951293,-5.24031490792235,-2.8296774193548386,1.1096666666666668,11.0,0.0,12.0,0.034
201802,43148.0,0,-0.8911872491036199,0.02265680396411618,-0.702392857142857,1.978263157894737,4.0,0.0,16.0,0.0359
201803,120281.0,1,6.417015782678592,8.823964749684032,7.832064516129033,6.4584705882352935,0.0,0.0,22.0,0.0679
201804,199054.0,1,12.483271826475129,8.996397395522738,13.046666666666665,6.7153809523809525,0.0,1.0,20.0,0.0913
201805,187907.0,1,1.612075654437306,-1.1034674738347627,17.584064516129033,5.9733846153846155,0.0,0.0,23.0,0.1065
201806,201718.0,2,2.622907294414234,-0.6400813335037947,22.07133333333333,7.188549999999999,0.0,3.0,18.0,0.1117
201807,149270.0,2,-1.9542027448647081,-0.86612110420895,26.355709677419355,9.11875,0.0,2.0,20.0,0.0767
201808,88664.0,2,2.891416465633889,6.5668295855422665,26.894193548387097,14.367888888888888,0.0,5.0,18.0,0.0765
201809,161931.0,3,8.543528077331942,2.7713523500977333,19.857366666666667,6.37603448275862,0.0,2.0,18.0,0.0937
201810,189444.0,3,-10.869395035093632,-17.417395097201226,12.403774193548387,8.351714285714285,0.0,2.0,21.0,0.0981
201811,167322.0,3,-17.044192063928065,-12.5729815450358,7.500533333333333,2.833727272727273,0.0,1.0,21.0,0.112
201812,170531.0,0,2.6161707107454024,3.0748740849349643,0.5539032258064516,1.1750769230769231,6.0,0.0,15.0,0.1085
201901,58246.0,0,9.747596623483368,9.300057232568104,-0.28332258064516125,0.6441000000000001,0.0,0.0,23.0,0.034
201902,71520.0,0,2.8036178751523755,3.6536361530231654,1.9784642857142856,1.8397222222222223,0.0,0.0,20.0,0.0359
201903,113366.0,1,0.3448873795765417,6.000576260213508,6.955387096774193,2.0728636363636364,0.0,0.0,21.0,0.0679
201904,148310.0,1,-4.647551165366326,-2.220529410185512,11.694133333333333,3.6905416666666664,0.0,0.0,22.0,0.0913
201905,187720.0,1,-7.086648945688079,-10.978093883357044,18.36758064516129,2.9546842105263154,0.0,0.0,23.0,0.1065
201906,178490.0,2,12.479667505397597,2.4202943013843514,20.9761,7.251347826086957,0.0,1.0,19.0,0.1117
201907,167278.0,2,-17.86759807207512,-6.558028917368652,24.527032258064516,8.434354838709679,0.0,1.0,22.0,0.0767
201908,94331.0,2,13.971673691998499,3.3998528055764643,25.87316129032258,6.342161290322581,0.0,1.0,21.0,0.0765
201909,154754.0,3,-24.62833627959543,-2.8575041092426146,21.1038,9.97096153846154,0.0,2.0,19.0,0.0937
201910,135118.0,3,-17.499670826047065,4.388932457012462,15.407322580645161,7.402961538461539,0.0,1.0,22.0,0.0981
201911,195417.0,3,8.313262568168067,4.702411138260132,7.905,4.0473333333333334,0.0,0.0,21.0,0.112
201912,198271.0,0,19.279542199059073,-0.9279644225265393,2.0057741935483873,1.2859629629629632,0.0,0.0,22.0,0.1085
202001,71464.0,0,-10.083867518967892,-15.660270441439527,2.1921935483870967,4.257666666666666,0.0,1.0,22.0,0.034
