date,demand,season_sin,season_cos,temp_avg,precip_avg,possible_working_days,avg_weight,ap_price_weight,crude_price_weight
200101,18786.0,0.49999999999999994,0.8660254037844387,-2.617516129032258,2.119862068965517,15.0,0.034,146683.83333333334,144764.16666666666
200102,31063.0,0.8660254037844386,0.5000000000000001,0.5836428571428571,3.207809523809524,20.0,0.0359,146683.83333333334,144764.16666666666
200103,95192.0,1.0,6.123233995736766e-17,5.205774193548387,0.90388,22.0,0.0679,146683.83333333334,144764.16666666666
200104,161437.0,0.8660254037844387,-0.49999999999999983,12.494833333333334,2.1845,21.0,0.0913,146683.83333333334,144764.16666666666
200105,176527.0,0.49999999999999994,-0.8660254037844387,18.08158064516129,2.0283333333333333,23.0,0.1065,146683.83333333334,144764.16666666666
200106,174338.0,1.2246467991473532e-16,-1.0,21.608933333333333,10.140222222222222,19.0,0.1117,146683.83333333334,144764.16666666666
200107,131949.0,-0.4999999999999998,-0.8660254037844388,25.357290322580646,12.960758620689656,20.0,0.0767,146683.83333333334,144764.16666666666
200108,174500.0,-0.8660254037844384,-0.5000000000000004,25.00461290322581,4.561193548387097,23.0,0.0765,146683.83333333334,144764.16666666666
200109,213406.0,-1.0,-1.8369701987210297e-16,20.339766666666666,5.11988888888889,19.0,0.0937,146683.83333333334,144764.16666666666
200110,162373.0,-0.8660254037844386,0.5000000000000001,15.055677419354838,4.376214285714285,22.0,0.0981,146683.83333333334,144764.16666666666
200111,231850.0,-0.5000000000000004,0.8660254037844384,6.308833333333333,0.9278571428571428,22.0,0.112,146683.83333333334,144764.16666666666
200112,210975.0,-2.4492935982947064e-16,1.0,0.024193548387096746,1.7560434782608696,21.0,0.1085,146683.83333333334,144764.16666666666
200201,44976.0,0.49999999999999994,0.8660254037844387,0.7403870967741936,2.93596,22.0,0.034,146683.83333333334,144764.16666666666
200202,44277.0,0.8660254037844386,0.5000000000000001,1.9958571428571428,0.4697058823529412,20.0,0.0359,146683.83333333334,144764.16666666666
200203,114824.0,1.0,6.123233995736766e-17,7.5799677419354845,2.8994545454545455,21.0,0.0679,146683.83333333334,144764.16666666666
200204,157291.0,0.8660254037844387,-0.49999999999999983,13.1694,7.359909090909091,20.0,0.0913,146683.83333333334,144764.16666666666
200205,217101.0,0.49999999999999994,-0.8660254037844387,16.659451612903226,4.853192307692307,22.0,0.1065,146683.83333333334,144764.16666666666
200206,156575.0,1.2246467991473532e-16,-1.0,20.91596666666667,3.72012,20.0,0.1117,146683.83333333334,144764.16666666666
200207,116685.0,-0.4999999999999998,-0.8660254037844388,24.28383870967742,8.514838709677418,21.0,0.0767,146683.83333333334,144764.16666666666
200208,107844.0,-0.8660254037844384,-0.5000000000000004,23.587774193548388,21.04158064516129,16.0,0.0765,141579.9,144764.16666666666
200209,151560.0,-1.0,-1.8369701987210297e-16,19.663433333333334,4.49712,21.0,0.0937,141579.9,144764.16666666666
200210,171889.0,-0.8660254037844386,0.5000000000000001,12.275193548387097,3.7978181818181813,23.0,0.0981,146683.83333333334,144764.16666666666
200211,211490.0,-0.5000000000000004,0.8660254037844384,4.250966666666667,1.1420454545454546,21.0,0.112,146683.83333333334,144764.16666666666
200212,177511.0,-2.4492935982947064e-16,1.0,1.6629354838709678,2.3265357142857144,21.0,0.1085,141579.9,144764.16666666666
200301,49218.0,0.49999999999999994,0.8660254037844387,-2.432032258064516,1.5385833333333334,16.0,0.034,141579.9,142557.76666666666
200302,86550.0,0.8660254037844386,0.5000000000000001,1.9062142857142859,2.055148148148148,20.0,0.0359,141579.9,142557.76666666666
200303,70575.0,1.0,6.123233995736766e-17,5.666290322580645,2.319695652173913,21.0,0.0679,141579.9,142557.76666666666
200304,104384.0,0.8660254037844387,-0.49999999999999983,12.2277,9.167954545454545,20.0,0.0913,146683.83333333334,144764.16666666666
200305,156171.0,0.49999999999999994,-0.8660254037844387,17.296612903225807,8.312541666666666,19.0,0.1065,146683.83333333334,144764.16666666666
200306,170798.0,1.2246467991473532e-16,-1.0,20.703366666666668,8.51112,19.0,0.1117,141579.9,144764.16666666666
200307,119662.0,-0.4999999999999998,-0.8660254037844388,22.272161290322583,16.543290322580646,17.0,0.0767,141579.9,144764.16666666666
200308,152750.0,-0.8660254037844384,-0.5000000000000004,23.53767741935484,12.5449,18.0,0.0765,141579.9,142557.76666666666
200309,158202.0,-1.0,-1.8369701987210297e-16,20.57606666666667,11.358600000000001,20.0,0.0937,146683.83333333334,144764.16666666666
200310,190338.0,-0.8660254037844386,0.5000000000000001,13.004806451612904,1.778823529411765,23.0,0.0981,141579.9,142557.76666666666
200311,188538.0,-0.5000000000000004,0.8660254037844384,9.2963,3.805272727272728,20.0,0.112,146683.83333333334,142557.76666666666
200312,257198.0,-2.4492935982947064e-16,1.0,1.4229354838709676,0.8352727272727273,23.0,0.1085,146683.83333333334,142557.76666666666
200401,56024.0,0.49999999999999994,0.8660254037844387,-1.4738709677419355,0.8741363636363637,17.0,0.034,141579.9,142557.76666666666
200402,55387.0,0.8660254037844386,0.5000000000000001,2.503551724137931,2.047521739130435,20.0,0.0359,141579.9,142557.76666666666
200403,126294.0,1.0,6.123233995736766e-17,6.097774193548387,2.2974375,23.0,0.0679,141579.9,142557.76666666666
200404,164565.0,0.8660254037844387,-0.49999999999999983,12.630266666666667,5.853125,21.0,0.0913,141579.9,142557.76666666666
200405,177861.0,0.49999999999999994,-0.8660254037844387,17.19293548387097,4.826037037037037,20.0,0.1065,141579.9,142557.76666666666
200406,203095.0,1.2246467991473532e-16,-1.0,21.636033333333334,12.012904761904762,18.0,0.1117,141579.9,142557.76666666666
200407,139521.0,-0.4999999999999998,-0.8660254037844388,25.00483870967742,12.155233333333333,17.0,0.0767,141579.9,142557.76666666666
200408,141171.0,-0.8660254037844384,-0.5000000000000004,24.73709677419355,12.654357142857142,19.0,0.0765,141579.9,142557.76666666666
200409,165050.0,-1.0,-1.8369701987210297e-16,20.484766666666665,7.304464285714286,20.0,0.0937,141579.9,142557.76666666666
200410,209923.0,-0.8660254037844386,0.5000000000000001,13.800451612903224,1.0687727272727272,21.0,0.0981,141579.9,142557.76666666666
200411,212921.0,-0.5000000000000004,0.8660254037844384,8.5694,3.0124000000000004,22.0,0.112,141579.9,142557.76666666666
200412,233242.0,-2.4492935982947064e-16,1.0,2.571096774193548,1.440130434782609,23.0,0.1085,146683.83333333334,142557.76666666666
200501,50864.0,0.49999999999999994,0.8660254037844387,-1.6431290322580645,0.8294074074074075,20.0,0.034,141579.9,142557.76666666666
200502,30782.0,0.8660254037844386,0.5000000000000001,-1.0343571428571428,1.9611904761904764,16.0,0.0359,141579.9,142557.76666666666
200503,106588.0,1.0,6.123233995736766e-17,4.454354838709678,3.424304347826087,23.0,0.0679,154216.44827586206,154094.55172413794
200504,155452.0,0.8660254037844387,-0.49999999999999983,12.994233333333334,3.8058500000000004,21.0,0.0913,154216.44827586206,154094.55172413794
200505,171479.0,0.49999999999999994,-0.8660254037844387,16.80658064516129,4.8659375,22.0,0.1065,154216.44827586206,154094.55172413794
200506,182879.0,1.2246467991473532e-16,-1.0,22.193766666666665,7.8933478260869565,20.0,0.1117,154216.44827586206,133424.93333333332
200507,139427.0,-0.4999999999999998,-0.8660254037844388,24.70448387096774,12.041620689655172,16.0,0.0767,154216.44827586206,133424.93333333332
200508,160338.0,-0.8660254037844384,-0.5000000000000004,24.74651612903226,11.415366666666667,21.0,0.0765,154216.44827586206,133424.93333333332
200509,168723.0,-1.0,-1.8369701987210297e-16,21.296833333333332,9.649241379310343,19.0,0.0937,142183.76666666666,133424.93333333332
200510,143223.0,-0.8660254037844386,0.5000000000000001,13.853129032258064,2.924653846153846,20.0,0.0981,142183.76666666666,133424.93333333332
200511,217707.0,-0.5000000000000004,0.8660254037844384,7.786933333333334,1.7303333333333335,22.0,0.112,142183.76666666666,133424.93333333332
200512,166600.0,-2.4492935982947064e-16,1.0,-2.8645483870967743,1.06225,14.0,0.1085,142183.76666666666,133424.93333333332
200601,54065.0,0.49999999999999994,0.8660254037844387,0.06238709677419355,1.9896,19.0,0.034,142183.76666666666,133424.93333333332
200602,87044.0,0.8660254037844386,0.5000000000000001,0.7640357142857143,1.7482,17.0,0.0359,142183.76666666666,133424.93333333332
200603,127679.0,1.0,6.123233995736766e-17,5.57883870967742,0.6908461538461539,23.0,0.0679,131693.46666666667,133424.93333333332
200604,137738.0,0.8660254037844387,-0.49999999999999983,11.036533333333333,4.172185185185185,20.0,0.0913,131693.46666666667,143202.33333333334
200605,165099.0,0.49999999999999994,-0.8660254037844387,17.16616129032258,6.174357142857143,21.0,0.1065,131693.46666666667,143202.33333333334
200606,162464.0,1.2246467991473532e-16,-1.0,21.179333333333332,5.985571428571428,21.0,0.1117,142183.76666666666,143202.33333333334
200607,92099.0,-0.4999999999999998,-0.8660254037844388,22.925129032258063,22.277677419354838,11.0,0.0767,131693.46666666667,141076.24137931035
200608,168196.0,-0.8660254037844384,-0.5000000000000004,26.20364516129032,7.1044,23.0,0.0765,142183.76666666666,141076.24137931035
200609,202589.0,-1.0,-1.8369701987210297e-16,19.1723,2.5219615384615386,21.0,0.0937,142183.76666666666,143202.33333333334
200610,137023.0,-0.8660254037844386,0.5000000000000001,16.408225806451615,2.4394615384615386,22.0,0.0981,142183.76666666666,133424.93333333332
200611,196023.0,-0.5000000000000004,0.8660254037844384,8.3101,2.8384074074074075,22.0,0.112,154216.44827586206,133424.93333333332
200612,216782.0,-2.4492935982947064e-16,1.0,1.4163870967741936,1.0244583333333332,19.0,0.1085,154216.44827586206,143202.33333333334
200701,68866.0,0.49999999999999994,0.8660254037844387,0.4135161290322581,0.7525,23.0,0.034,142183.76666666666,133424.93333333332
200702,81741.0,0.8660254037844386,0.5000000000000001,3.691642857142857,2.7433333333333336,20.0,0.0359,142183.76666666666,133424.93333333332
200703,89081.0,1.0,6.123233995736766e-17,6.469967741935484,4.581888888888889,21.0,0.0679,142183.76666666666,143202.33333333334
200704,145328.0,0.8660254037844387,-0.49999999999999983,11.350466666666668,2.042826086956522,21.0,0.0913,131693.46666666667,143202.33333333334
200705,193024.0,0.49999999999999994,-0.8660254037844387,17.504580645161287,4.5574814814814815,23.0,0.1065,131693.46666666667,143202.33333333334
200706,170488.0,1.2246467991473532e-16,-1.0,21.561566666666668,3.9795384615384615,21.0,0.1117,131693.46666666667,141076.24137931035
200707,135429.0,-0.4999999999999998,-0.8660254037844388,23.442354838709676,8.986870967741936,21.0,0.0767,133655.41379310345,141076.24137931035
200708,106629.0,-0.8660254037844384,-0.5000000000000004,25.816967741935485,12.012354838709676,21.0,0.0765,131693.46666666667,141076.24137931035
200709,125149.0,-1.0,-1.8369701987210297e-16,21.023500000000002,13.180533333333333,15.0,0.0937,133655.41379310345,142467.13333333333
200710,238845.0,-0.8660254037844386,0.5000000000000001,14.599064516129033,2.7422142857142857,23.0,0.0981,146330.76666666666,142467.13333333333
200711,206931.0,-0.5000000000000004,0.8660254037844384,6.548500000000001,2.0370476190476188,22.0,0.112,130369.4827586207,128837.6551724138
200712,197675.0,-2.4492935982947064e-16,1.0,2.0826774193548387,1.4212962962962963,21.0,0.1085,130369.4827586207,128837.6551724138
200801,63907.0,0.49999999999999994,0.8660254037844387,-0.747258064516129,1.8484,21.0,0.034,130369.4827586207,128837.6551724138
200802,52256.0,0.8660254037844386,0.5000000000000001,-0.8848620689655173,0.4672631578947368,20.0,0.0359,130369.4827586207,128837.6551724138
